"L [mm]","portsize [mm]","Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []"
5.15,3.52,47.5,5.19499736083168,6.07068250234294,9.71254217656418
5.15,3.52,48,5.23460519863371,6.09193998126704,9.52159462965397
5.15,3.52,48.5,5.27424103406962,6.11400694954852,9.35593286500506
5.15,3.52,49,5.31390255830141,6.13683126824482,9.21128898939584
5.15,3.52,49.5,5.35358760369387,6.1603651250999,9.08435290281558
5.15,3.52,50,5.39329413407216,6.18456459216232,8.97251717121047
5.15,3.52,50.5,5.43302023575551,6.2093892369615,8.87369602845651
5.15,3.52,51,5.47276410929635,6.23480177978375,8.78619613220928
5.15,3.52,51.5,5.51252406186156,6.26076779075907,8.70862353702669
5.15,3.52,52,5.55229850019888,6.28725542143603,8.6398161096174
5.15,3.52,52.5,5.59208592413711,6.31423516632394,8.57879390788768
5.15,3.52,53,5.6318849205739,6.3416796505492,8.52472232222887
5.15,3.52,53.5,5.67169415790954,6.36956344033139,8.47688434909212
5.15,3.52,54,5.71151238088886,6.39786287345328,8.43465945293254
5.15,3.52,54.5,5.75133840581728,6.42655590729358,8.39750722477271
5.15,3.52,55,5.79117111612,6.45562198232487,8.36495456818234
5.15,3.52,55.5,5.83100945821643,6.48504189926174,8.3365855078562
5.15,3.52,56,5.87085243768424,6.51479770828449,8.31203297115763
5.15,3.52,56.5,5.91069911569006,6.5448726089691,8.2909720725579
5.15,3.52,57,5.95054860566563,6.575250859729,8.27311455791103
5.15,3.52,57.5,5.9904000702103,6.60591769572504,8.25820415585066
5.15,3.52,58,6.03025271820234,6.63685925432908,8.24601264825859
5.15,3.52,58.5,6.07010580210304,6.6680625073384,8.2363365183446
5.15,3.52,59,6.10995861543906,6.69951519923421,8.22899406868975
5.15,3.52,59.5,6.14981049044964,6.73120579086134,8.2238229263384
5.15,3.52,60,6.18966079588632,6.76312340797866,8.22067787027125
5.5,3.39,13,360.113494259453,885.780174075467,1645.03183156646
5.5,3.39,13.5,240.902248662948,882.487660620545,1627.57362138581
5.5,3.39,14,71.3475585303128,879.05788310873,1609.25694799287
5.5,3.39,14.5,8.55291109888172,875.489228673813,1590.05215347571
5.5,3.39,15,5.95858008713024,871.77999216881,1569.92665540122
5.5,3.39,15.5,5.02209459072235,867.928371521602,1548.84457430579
5.5,3.39,16,4.51642818316417,863.932462701266,1526.76629501453
5.5,3.39,16.5,4.20366823084879,859.790254258449,1503.64794682703
5.5,3.39,17,3.99531390204953,855.499621397906,1479.4407834215
5.5,3.39,17.5,3.85028478762122,851.058319530199,1454.09043773567
5.5,3.39,18,3.74682989616895,846.463977040762,1427.53601952237
5.5,3.39,18.5,3.67228590506729,841.714089348207,1399.70901292053
5.5,3.39,19,3.61873514232985,836.806006402715,1370.53191699482
5.5,3.39,19.5,3.58094890941463,831.73692867061,1339.91655189589
5.5,3.39,20,3.55532300685295,826.503894114389,1307.76192415681
5.5,3.39,20.5,3.5392858764385,821.103768176567,1273.9515020256
5.5,3.39,21,3.53094989463872,815.533231827165,1238.34968808323
5.5,3.39,21.5,3.52889601064243,809.788768452223,1200.79717907118
5.5,3.39,22,3.53203547277564,803.866649358678,1161.10475006876
5.5,3.39,22.5,3.53951811311394,797.762918715194,1119.04475308345
5.5,3.39,23,3.55066979968826,791.473375697069,1074.33920684895
5.5,3.39,23.5,3.56494873816869,784.993553190139,1026.64263623645
5.5,3.39,24,3.58191428588523,778.318699027282,975.516514320049
5.5,3.39,24.5,3.60120426900221,771.443751120368,920.38966304293
5.5,3.39,25,3.62251814948753,863.806589570286,860.530222767273
5.5,3.39,25.5,3.64560428591512,794.828818783047,796.241454626609
5.5,3.39,26,3.67025042869116,721.569111249531,747.235903137041
5.5,3.39,26.5,3.69627622242695,638.394314583109,747.64499772597
5.5,3.39,27,3.72352742027732,540.642801313668,733.260921947431
5.5,3.39,27.5,3.75187131228197,418.266570636986,724.230093659034
5.5,3.39,28,3.7811930867424,237.220162213052,719.523039581666
5.5,3.39,28.5,3.81139290874737,23.9595846077519,711.537217698946
5.5,3.39,29,3.84238355544866,14.6363821047634,700.340790545105
5.5,3.39,29.5,3.87408848755993,11.7091132114568,688.924471536452
5.5,3.39,30,3.90644026561351,10.1801801855927,678.990323337723
5.5,3.39,30.5,3.93937924083583,9.22094888438648,670.447636595625
5.5,3.39,31,3.97285246643596,8.55819238025585,662.280132494667
5.5,3.39,31.5,4.00681278702355,8.07201090851657,653.416405721279
5.5,3.39,32,4.04121807293086,7.70078668862814,643.207832061299
5.5,3.39,32.5,4.0760305731368,7.40913527587785,631.525493209682
5.5,3.39,33,4.11121636582633,7.17514641331577,618.636597961819
5.5,3.39,33.5,4.14674488976445,6.98444941460437,605.006783728177
5.5,3.39,34,4.18258854290653,6.82718547945106,591.116015038456
5.5,3.39,34.5,4.21872233722092,6.69634247580692,577.32309184935
5.5,3.39,35,4.25512360072454,6.58678282281629,563.785489969354
5.5,3.39,35.5,4.29177171934628,6.49464777835222,550.431199017925
5.5,3.39,36,4.32864791252863,6.41697737188753,536.977476583269
5.5,3.39,36.5,4.36573503752167,6.35145952163749,522.992118170377
5.5,3.39,37,4.40301741817056,6.29625952619399,507.994400596186
5.5,3.39,37.5,4.44048069468733,6.24990121615843,491.594974278928
5.5,3.39,38,4.47811169146165,6.2111822621248,473.672839490088
5.5,3.39,38.5,4.51589830043059,6.1791126331952,454.567700658143
5.5,3.39,39,4.55382937790919,6.15286909497554,435.186902415764
5.5,3.39,39.5,4.59189465310247,6.1317610397875,416.718885845632
5.5,3.39,40,4.63008464678349,6.1152044651783,399.310482529156
5.5,3.39,40.5,4.66839059884343,6.10270190494469,378.973617209279
5.5,3.39,41,4.70680440360057,6.09382677151391,342.538076530538
5.5,3.39,41.5,4.74531855193031,6.088211010654,253.509035706168
5.5,3.39,42,4.7839260793667,6.08553527326556,-5.17429437650244
5.5,3.39,42.5,4.82262051949461,6.08552102110583,59.3704736786646
5.5,3.39,43,4.86139586200059,6.08792413356334,28.0418787732285
5.5,3.39,43.5,4.9002465148516,6.09252969046733,20.4937041922967
5.5,3.39,44,4.93916727013779,6.09914768435923,17.1920664634037
5.5,3.39,44.5,4.97815327317032,6.10760947331752,15.3158649727456
5.5,3.39,45,5.01719999448093,6.11776482829847,14.0672340980506
5.5,3.39,45.5,5.05630320440392,6.12947946113429,13.1510765566166
5.5,3.39,46,5.0954589499937,6.14263294371569,12.4383391840629
5.5,3.39,46.5,5.13466353398105,6.15711694752435,11.8642888502867
5.5,3.39,47,5.17391349561919,6.17283374704442,11.3921061413583
5.5,3.39,47.5,5.21320559318726,6.18969494173691,10.9983917656838
5.5,3.39,48,5.25253678800005,6.2076203599871,10.6668997552497
5.5,3.39,48.5,5.29190422978296,6.22653711530582,10.3856113066428
5.5,3.39,49,5.33130524324862,6.24637879051814,10.1452556162029
5.5,3.39,49.5,5.3707373158117,6.26708473000324,9.938496627056
5.5,3.39,50,5.41019808628336,6.28859942356386,9.75944596868283
5.5,3.39,50.5,5.449685334484,6.31087196827915,9.60334640618176
5.5,3.39,51,5.48919697168005,6.33385559700189,9.46635082671629
5.5,3.39,51.5,5.52873103177128,6.35750726400824,9.34535847637775
5.5,3.39,52,5.56828566316121,6.38178727982938,9.23788768524106
5.5,3.39,52.5,5.60785912125017,6.4066589885472,9.14197302631346
5.5,3.39,53,5.64744976149596,6.43208848187002,9.0560793787379
5.5,3.39,53.5,5.68705603299527,6.45804434516186,8.97902782626598
5.5,3.39,54,5.72667647253712,6.4844974313098,8.90992971954399
5.5,3.39,54.5,5.76630969909295,6.51142065891468,8.84812605555015
5.5,3.39,55,5.80595440870425,6.53878883179227,8.79312982850104
5.5,3.39,55.5,5.84560936973597,6.56657847718702,8.74456931463652
5.5,3.39,56,5.88527341846518,6.59476770046281,8.70213044005449
5.5,3.39,56.5,5.92494545497842,6.6233360543359,8.66549648713121
5.5,3.39,57,5.96462443935363,6.65226442097056,8.6342834458663
5.5,3.39,57.5,6.00430938810288,6.68153490547688,8.60796932807425
5.5,3.39,58,6.04399937085661,6.71113073953803,8.58581574668611
5.5,3.39,58.5,6.08369350727048,6.74103619405501,8.56678002951367
5.5,3.39,59,6.12339096413768,6.77123649983508,8.54941609611635
5.5,3.39,59.5,6.16309095269142,6.80171777546933,8.53176228780047
5.5,3.39,60,6.20279272608321,6.83246696164706,8.51121431534206
